"data","barometro","MM"
"2015-06-05",66.8412384759724,NA
"2015-06-06",83.7796674497737,NA
"2015-06-07",63.3226123900382,NA
"2015-06-08",77.3757752012461,NA
"2015-06-09",81.389618743936,NA
"2015-06-10",68.7327236441731,NA
"2015-06-11",82.3830513544381,NA
"2015-06-12",66.6407065135049,72.784250263331
"2015-06-13",82.9441633859991,75.324228543998
"2015-06-14",78.589769218117,76.1406137125278
"2015-06-15",65.9129095856207,73.583687680801
"2015-06-16",83.3301740400493,76.0203092706131
"2015-06-17",77.8723510471219,76.4833197147403
"2015-06-18",53.054353737055,70.626078220319
"2015-06-19",49.4910397851422,65.3423186115248
"2015-06-20",65.835451877646,65.4656019280551
"2015-06-21",83.9046728429385,70.0753696567759
"2015-06-22",82.7508300509527,73.2442347553201
"2015-06-23",44.1969266813201,65.9824077368201
"2015-06-24",74.9555649938993,68.2256970510899
"2015-06-25",78.0311975431211,70.6770721740977
"2015-06-26",65.665129310589,69.4240864582205
"2015-06-27",81.1477123082283,72.3549929207225
"2015-06-28",75.6450360568894,73.1775037047642
"2015-06-29",63.0214756524534,70.6384966916865
"2015-06-30",79.78105488047,72.9241362388824
"2015-07-01",83.4241904439405,75.5491497901469
"2015-07-02",80.0143501446582,76.6654498787747
"2015-07-03",79.0661473530345,77.2656242473397
"2015-07-04",69.6352622778726,75.3580337549729
"2015-07-05",84.0683334534988,77.5356086796044
"2015-07-06",80.5265744767364,78.2833501288874
"2015-07-07",79.0333415619098,78.470847987143
"2015-07-08",70.9382187771796,76.5876906846521
"2015-07-09",81.2757063545287,77.7596946021213
"2015-07-10",80.2263340195641,78.376354456482
"2015-07-11",68.7449925700023,75.9685139848621
"2015-07-12",75.5292468266562,75.8586971953106
"2015-07-13",79.3581867261982,76.7335695780325
"2015-07-14",80.2139113431455,77.6036550193107
"2015-07-15",83.4982497040182,79.0773036904876
"2015-07-16",76.9608773435466,78.5481971037524
"2015-07-17",82.2853614109673,79.4824881805561
"2015-07-18",75.2537703633834,78.4253087262629
"2015-07-19",51.8516385025655,71.7818911703386
"2015-07-20",62.6507879390708,69.4991153625216
"2015-07-21",74.9205953353085,70.8544853557183
"2015-07-22",69.8123376986096,70.5939484414412
"2015-07-23",81.2813866572075,73.2658079953827
"2015-07-24",76.4014653287062,74.0497223287136
"2015-07-25",77.779207192827,74.982093544742
"2015-07-26",73.3860703676178,74.5830877504609
"2015-07-27",59.7878003202637,70.8842658929116
"2015-07-28",84.0450364914723,74.1744585425518
"2015-07-29",76.3302159070946,74.7133978836875
"2015-07-30",83.3953931606375,76.883896702925
"2015-07-31",81.428034061566,78.0199310425852
"2015-08-01",81.2056264432168,78.8163548927431
"2015-08-02",80.905068137683,79.3385332039781
"2015-08-03",84.442697766237,80.6145743445428
"2015-08-04",82.9408508427418,81.1961434690925
"2015-08-05",81.0570579911582,81.161372099609
"2015-08-06",81.5853046816774,81.2673552451261
"2015-08-07",78.3286697629708,80.5326838745873
"2015-08-08",79.9406602471136,80.3846779677188
"2015-08-09",80.4414202044718,80.3988635269071
"2015-08-10",77.3915973729454,79.6470469884166
"2015-08-11",83.1028548806965,80.5109989614866
"2015-08-12",75.9711364731193,79.3760333393948
"2015-08-13",71.6624506365681,77.4476376636881
"2015-08-14",73.5947345185566,76.4844118774052
"2015-08-15",84.1302423253655,78.3958694893953
"2015-08-16",83.5229904511943,79.6776497298451
"2015-08-17",70.9462651229827,77.4948035781295
"2015-08-18",80.6078717587223,78.2730706232777
"2015-08-19",82.3218079512331,79.2852549552665
"2015-08-20",82.4516517400863,80.0768541514715
"2015-08-21",81.2774317101255,80.376998541135
"2015-08-22",81.4070527842268,80.6345121019079
"2015-08-23",82.4546741768718,81.0895526206489
"2015-08-24",74.7461368450895,79.5036986767591
"2015-08-25",79.2779597109184,79.4472639352989
"2015-08-26",78.9993090502662,79.3352752140407
"2015-08-27",80.2964867131992,79.5755780888303
"2015-08-28",76.960074651206,78.9217022294242
"2015-08-29",57.4569328759451,73.5555098910545
"2015-08-30",82.0845953752287,75.687781262098
"2015-08-31",73.9874129372352,75.2626891808823
"2015-09-01",82.6271180544213,77.1037963992671
"2015-09-02",76.6640793583356,76.9938671390342
"2015-09-03",82.7367509392442,78.4295880890867
"2015-09-04",77.6818100763485,78.2426435859021
"2015-09-05",76.8162578535266,77.8860471528083
"2015-09-06",79.1329909307286,78.1977830972884
"2015-09-07",78.9692476995937,78.3906492478647
"2015-09-08",75.9280002238229,77.7749869918542
"2015-09-09",75.3437560112136,77.1671792466941
"2015-09-10",78.6454633581452,77.5367502745569
"2015-09-11",78.6372432629578,77.8118735216571
"2015-09-12",65.2825014962794,74.6795305153126
"2015-09-13",54.9191974924789,69.7394472596042
"2015-09-14",78.1884545092471,71.8516990720149
"2015-09-15",58.8665471808317,68.6054110992191
"2015-09-16",67.3796334369682,68.2989666836564
"2015-09-17",76.0244474774227,70.230336882098
"2015-09-18",75.8880606344901,71.644767820196
"2015-09-19",57.0067044009856,67.9852519653934
"2015-09-20",76.830340994522,70.1965242226755
"2015-09-21",58.6913176747882,67.3202225857037
"2015-09-22",88.9103498687171,72.7177544064571
"2015-09-23",88.3038262025482,76.6142723554798
"2015-09-24",85.489583784446,78.8331002127214
"2015-09-25",82.0915494030342,79.6477125102996
"2015-09-26",84.6573345331574,80.900118016014
"2015-09-27",79.6916716843843,80.5980064331066
"2015-09-28",86.7939325841144,82.1469879708585
"2015-09-29",77.7059335211684,81.036724358436
"2015-09-30",77.0499740000814,80.0400367688474
"2015-10-01",81.8064008904621,80.481627799251
"2015-10-02",86.0870981477201,81.8829953863683
"2015-10-03",77.9627911197022,80.9029443197018
"2015-10-04",82.7253446081764,81.3585443918204
"2015-10-05",73.3662539667786,79.36047178556
"2015-10-06",71.1766893108946,77.3145261668936
"2015-10-07",83.2313758051023,78.7937385764458
"2015-10-08",83.3269348052604,79.9270376336494
"2015-10-09",78.9783766753972,79.6898723940864
"2015-10-10",89.7164322327994,82.1965123537646
"2015-10-11",85.6020745474794,83.0479029021933
"2015-10-12",73.7632797590481,80.726747116407
"2015-10-13",78.0303798029199,80.0526552880353
"2015-10-14",74.397935778192,78.6389754105744
"2015-10-15",80.6767576562462,79.1484209719924
"2015-10-16",85.5396943716332,80.7462393219026
"2015-10-17",77.1721515060648,79.8527173679431
"2015-10-18",73.8424912246226,78.350160832113
"2015-10-19",81.0010769413257,79.0128898594162
"2015-10-20",81.3153946156942,79.5885160484857
"2015-10-21",73.9831399894787,78.1871720337339
"2015-10-22",68.2985778109176,75.7150234780298
"2015-10-23",79.5230127865173,76.6670208051517
"2015-10-24",86.5887826307055,79.1474612615402
"2015-10-25",72.6342766263932,77.5191651027534
"2015-10-26",70.6055558770645,75.7907627963312
"2015-10-27",82.5104704371962,77.4706897065474
